Localisation,Date_instal,l_ar,Code_Lat,Code_Long,year,comptages_annuels
102 boulevard de Magenta,29/11/2018,10ème Ardt,48.87613003653913,2.360728487847452,2022,5
89 boulevard de Magenta,28/11/2018,10ème Ardt,48.87613003653913,2.360728487847452,2022,5783
72 boulevard Richard Lenoir,05/12/2018,11ème Ardt,48.85905922134248,2.380058308197898,2022,1537
77 boulevard Richard Lenoir,05/12/2018,11ème Ardt,48.85905922134248,2.380058308197898,2022,289
Notre Dame des Champs,11/08/2023,6ème Ardt,48.84913035858523,2.3328979990533147,2022,0
67 boulevard Voltaire,27/06/2018,11ème Ardt,48.85905922134248,2.380058308197898,2022,258
72 boulevard Voltaire,27/06/2018,11ème Ardt,48.85905922134248,2.380058308197898,2022,1573
Face au 70 quai de Bercy,30/11/2018,12ème Ardt,48.834974154202456,2.421323515614465,2022,345
69 Grandes-Carrières,21/01/2023,18ème Ardt,48.89256926800578,2.34816051956204,2022,0
42 boulevard Soult,26/01/2023,12ème Ardt,48.834974154202456,2.421323515614465,2022,0
Face au 8 avenue de la porte de Charenton,01/11/2019,12ème Ardt,48.834974154202456,2.421323515614465,2022,107
Quartier de l’Opera,27/04/2023,9ème Ardt,48.87716351732887,2.3374575434825444,2022,0
Pont Charles De Gaulle,12/12/2019,12ème Ardt,48.834974154202456,2.421323515614465,2022,3791
135 avenue Daumesnil,19/01/2013,12ème Ardt,48.834974154202456,2.421323515614465,2022,0
27 boulevard Diderot,17/01/2013,12ème Ardt,48.834974154202456,2.421323515614465,2022,68
28 boulevard Diderot,18/01/2013,12ème Ardt,48.834974154202456,2.421323515614465,2022,535
98 boulevard Poniatowski,01/02/2023,12ème Ardt,48.834974154202456,2.421323515614465,2022,0
180 avenue d'Italie,11/12/2019,13ème Ardt,48.82838796597577,2.3622703608413,2022,158
56 boulevard Kellermann,25/01/2023,13ème Ardt,48.82838796597577,2.3622703608413,2022,0
77 boulevard Masséna,26/01/2023,13ème Ardt,48.82838796597577,2.3622703608413,2022,0
Pont de Bercy,11/12/2019,13ème Ardt,48.82838796597577,2.3622703608413,2022,3521
Pont National,05/12/2018,13ème Ardt,48.82838796597577,2.3622703608413,2022,3648
Totem 85 quai d'Austerlitz,18/02/2020,13ème Ardt,48.82838796597577,2.3622703608413,2022,5645
Totem Cours la Reine,11/02/2020,13ème Ardt,48.82838796597577,2.3622703608413,2022,3625
10 boulevard Auguste Blanqui,06/12/2018,13ème Ardt,48.82838796597577,2.3622703608413,2022,25
147 avenue d'Italie,10/12/2019,13ème Ardt,48.82838796597577,2.3622703608413,2022,125
21 boulevard Auguste Blanqui,05/12/2018,13ème Ardt,48.82838796597577,2.3622703608413,2022,75
39 quai François Mauriac,12/07/2017,13ème Ardt,48.82838796597577,2.3622703608413,2022,1579
163 boulevard Brune,25/01/2023,14ème Ardt,48.82924450048987,2.3265420441989466,2022,0
152 boulevard du Montparnasse,07/12/2018,14ème Ardt,48.82924450048987,2.3265420441989466,2022,0
24 boulevard Jourdan,24/01/2023,14ème Ardt,48.82924450048987,2.3265420441989466,2022,98
106 avenue Denfert Rochereau,22/02/2012,14ème Ardt,48.82924450048987,2.3265420441989466,2022,0
6 rue Julia Bartet,28/11/2018,14ème Ardt,48.82924450048987,2.3265420441989466,2022,368
72 boulevard Brune,24/01/2023,14ème Ardt,48.82924450048987,2.3265420441989466,2022,0
9 boulevard Jourdan,24/01/2023,14ème Ardt,48.82924450048987,2.3265420441989466,2022,0
97 avenue Denfert Rochereau,22/02/2012,14ème Ardt,48.82924450048987,2.3265420441989466,2022,257
Face au 49 boulevard du Général Martial Valin,02/02/2023,15ème Ardt,48.840085375938216,2.2928258224249976,2022,0
129 rue Lecourbe,30/10/2019,15ème Ardt,48.840085375938216,2.2928258224249976,2022,178
132 rue Lecourbe,31/10/2019,15ème Ardt,48.840085375938216,2.2928258224249976,2022,11
36 quai de Grenelle,14/11/2019,15ème Ardt,48.840085375938216,2.2928258224249976,2022,125783
51 boulevard du Général Martial Valin,02/02/2023,15ème Ardt,48.840085375938216,2.2928258224249976,2022,0
Face au 40 quai D'Issy,05/11/2019,15ème Ardt,48.840085375938216,2.2928258224249976,2022,265
Pont du Garigliano,28/11/2018,16ème Ardt,48.86039210541583,2.261970788364543,2022,925
7 avenue de la Grande Armée,27/07/2018,16ème Ardt,48.86039210541583,2.261970788364543,2022,79
16 avenue de la Porte des Ternes,29/11/2018,17ème Ardt,48.887326522025816,2.3067769905744084,2022,27
Face au 16 avenue de la  Porte des Ternes,28/11/2018,17ème Ardt,48.887326522025816,2.3067769905744084,2022,1321
10 avenue de la Grande Armée,27/07/2018,17ème Ardt,48.887326522025816,2.3067769905744084,2022,0
87 avenue de Flandre,05/11/2019,19ème Ardt,48.88707599657258,2.384820960152517,2022,364
Face au 48 quai de la marne,29/11/2018,19ème Ardt,48.88707599657258,2.384820960152517,2022,75831
72 avenue de Flandre,13/11/2019,19ème Ardt,48.88707599657258,2.384820960152517,2022,179
Face 104 rue d'Aubervilliers,29/11/2018,19ème Ardt,48.88707599657258,2.384820960152517,2022,5469
Face au 25 quai de l'Oise,28/11/2018,19ème Ardt,48.88707599657258,2.384820960152517,2022,4381
Quai des Tuileries,18/05/2021,1er Ardt,48.862562701836005,2.336443362053388,2022,78245
Voie Georges Pompidou,15/12/2017,1er Ardt,48.862562701836005,2.336443362053388,2022,4587
27 boulevard Davout,25/01/2023,20ème Ardt,48.86346057889562,2.4011881292846864,2022,0
35 boulevard de Ménilmontant,18/11/2020,20ème Ardt,48.86346057889562,2.4011881292846864,2022,3879
81 boulevard Mortier,31/01/2023,20ème Ardt,48.86346057889562,2.4011881292846864,2022,0
Face au 4 avenue de la porte de Bagnolet,06/11/2019,20ème Ardt,48.86346057889562,2.4011881292846864,2022,534
Totem 73 boulevard de Sébastopol,11/02/2020,2ème Ardt,48.86827922252251,2.342802546891364,2022,98254
38 rue Turbigo,10/12/2019,3ème Ardt,48.86287238001693,2.360000985897692,2022,525781
18 quai de l'Hôtel de Ville,12/07/2017,4ème Ardt,48.85434142627288,2.357629620324997,2022,23
Totem 64 Rue de Rivoli,04/09/2019,4ème Ardt,48.85434142627288,2.357629620324997,2022,96587
27 quai de la Tournelle,14/11/2019,5ème Ardt,48.84444315053271,2.3507146095752587,2022,35754
243 boulevard Saint Germain,13/12/2018,7ème Ardt,48.85617443127909,2.3121876953655494,2022,33
Pont des Invalides,06/11/2019,7ème Ardt,48.85617443127909,2.3121876953655494,2022,283
Quai d'Orsay,07/11/2019,7ème Ardt,48.85617443127909,2.3121876953655494,2022,89562
Pont de la Concorde,08/11/2019,8ème Ardt,48.872720837434464,2.312554022402065,2022,67821
33 avenue des Champs Elysées,30/10/2019,8ème Ardt,48.872720837434464,2.312554022402065,2022,2478
44 avenue des Champs Elysées,30/10/2019,8ème Ardt,48.872720837434464,2.312554022402065,2022,1879
102 boulevard de Magenta,29/11/2018,10ème Ardt,48.87613003653913,2.360728487847452,2023,1186023
89 boulevard de Magenta,28/11/2018,10ème Ardt,48.87613003653913,2.360728487847452,2023,1004039
72 boulevard Richard Lenoir,05/12/2018,11ème Ardt,48.85905922134248,2.380058308197898,2023,829419
77 boulevard Richard Lenoir,05/12/2018,11ème Ardt,48.85905922134248,2.380058308197898,2023,685578
Notre Dame des Champs,11/08/2023,6ème Ardt,48.84913035858523,2.3328979990533147,2023,7854
67 boulevard Voltaire,27/06/2018,11ème Ardt,48.85905922134248,2.380058308197898,2023,818307
72 boulevard Voltaire,27/06/2018,11ème Ardt,48.85905922134248,2.380058308197898,2023,827125
Face au 70 quai de Bercy,30/11/2018,12ème Ardt,48.834974154202456,2.421323515614465,2023,767603
69 Grandes-Carrières,21/01/2023,18ème Ardt,48.89256926800578,2.34816051956204,2023,582
42 boulevard Soult,26/01/2023,12ème Ardt,48.834974154202456,2.421323515614465,2023,750321
Face au 8 avenue de la porte de Charenton,01/11/2019,12ème Ardt,48.834974154202456,2.421323515614465,2023,391473
Quartier de l’Opera,27/04/2023,9ème Ardt,48.87716351732887,2.3374575434825444,2023,8954
Pont Charles De Gaulle,12/12/2019,12ème Ardt,48.834974154202456,2.421323515614465,2023,830395
135 avenue Daumesnil,19/01/2013,12ème Ardt,48.834974154202456,2.421323515614465,2023,379868
27 boulevard Diderot,17/01/2013,12ème Ardt,48.834974154202456,2.421323515614465,2023,338301
28 boulevard Diderot,18/01/2013,12ème Ardt,48.834974154202456,2.421323515614465,2023,462910
98 boulevard Poniatowski,01/02/2023,12ème Ardt,48.834974154202456,2.421323515614465,2023,776660
180 avenue d'Italie,11/12/2019,13ème Ardt,48.82838796597577,2.3622703608413,2023,271927
56 boulevard Kellermann,25/01/2023,13ème Ardt,48.82838796597577,2.3622703608413,2023,346082
77 boulevard Masséna,26/01/2023,13ème Ardt,48.82838796597577,2.3622703608413,2023,699747
Pont de Bercy,11/12/2019,13ème Ardt,48.82838796597577,2.3622703608413,2023,868570
Pont National,05/12/2018,13ème Ardt,48.82838796597577,2.3622703608413,2023,885488
Totem 85 quai d'Austerlitz,18/02/2020,13ème Ardt,48.82838796597577,2.3622703608413,2023,1545287
Totem Cours la Reine,11/02/2020,13ème Ardt,48.82838796597577,2.3622703608413,2023,962844
10 boulevard Auguste Blanqui,06/12/2018,13ème Ardt,48.82838796597577,2.3622703608413,2023,238602
147 avenue d'Italie,10/12/2019,13ème Ardt,48.82838796597577,2.3622703608413,2023,262324
21 boulevard Auguste Blanqui,05/12/2018,13ème Ardt,48.82838796597577,2.3622703608413,2023,154371
39 quai François Mauriac,12/07/2017,13ème Ardt,48.82838796597577,2.3622703608413,2023,1068300
163 boulevard Brune,25/01/2023,14ème Ardt,48.82924450048987,2.3265420441989466,2023,384011
152 boulevard du Montparnasse,07/12/2018,14ème Ardt,48.82924450048987,2.3265420441989466,2023,762858
24 boulevard Jourdan,24/01/2023,14ème Ardt,48.82924450048987,2.3265420441989466,2023,366275
106 avenue Denfert Rochereau,22/02/2012,14ème Ardt,48.82924450048987,2.3265420441989466,2023,495934
6 rue Julia Bartet,28/11/2018,14ème Ardt,48.82924450048987,2.3265420441989466,2023,934675
72 boulevard Brune,24/01/2023,14ème Ardt,48.82924450048987,2.3265420441989466,2023,293768
9 boulevard Jourdan,24/01/2023,14ème Ardt,48.82924450048987,2.3265420441989466,2023,356683
97 avenue Denfert Rochereau,22/02/2012,14ème Ardt,48.82924450048987,2.3265420441989466,2023,321640
Face au 49 boulevard du Général Martial Valin,02/02/2023,15ème Ardt,48.840085375938216,2.2928258224249976,2023,293427
129 rue Lecourbe,30/10/2019,15ème Ardt,48.840085375938216,2.2928258224249976,2023,259663
132 rue Lecourbe,31/10/2019,15ème Ardt,48.840085375938216,2.2928258224249976,2023,241864
36 quai de Grenelle,14/11/2019,15ème Ardt,48.840085375938216,2.2928258224249976,2023,1386807
51 boulevard du Général Martial Valin,02/02/2023,15ème Ardt,48.840085375938216,2.2928258224249976,2023,320992
Face au 40 quai D'Issy,05/11/2019,15ème Ardt,48.840085375938216,2.2928258224249976,2023,387150
Pont du Garigliano,28/11/2018,16ème Ardt,48.86039210541583,2.261970788364543,2023,975710
7 avenue de la Grande Armée,27/07/2018,16ème Ardt,48.86039210541583,2.261970788364543,2023,196507
16 avenue de la Porte des Ternes,29/11/2018,17ème Ardt,48.887326522025816,2.3067769905744084,2023,147707
Face au 16 avenue de la  Porte des Ternes,28/11/2018,17ème Ardt,48.887326522025816,2.3067769905744084,2023,195230
10 avenue de la Grande Armée,27/07/2018,17ème Ardt,48.887326522025816,2.3067769905744084,2023,168455
87 avenue de Flandre,05/11/2019,19ème Ardt,48.88707599657258,2.384820960152517,2023,498888
Face au 48 quai de la marne,29/11/2018,19ème Ardt,48.88707599657258,2.384820960152517,2023,1646849
72 avenue de Flandre,13/11/2019,19ème Ardt,48.88707599657258,2.384820960152517,2023,447687
Face 104 rue d'Aubervilliers,29/11/2018,19ème Ardt,48.88707599657258,2.384820960152517,2023,903266
Face au 25 quai de l'Oise,28/11/2018,19ème Ardt,48.88707599657258,2.384820960152517,2023,944001
Quai des Tuileries,18/05/2021,1er Ardt,48.862562701836005,2.336443362053388,2023,1110176
Voie Georges Pompidou,15/12/2017,1er Ardt,48.862562701836005,2.336443362053388,2023,889733
27 boulevard Davout,25/01/2023,20ème Ardt,48.86346057889562,2.4011881292846864,2023,128758
